listing_id,title,title_url,price,dates,age,usage,condition
9909056,CBSE GRADE 9 MATHS GUIDE FOR SALE,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/9/cbse-grade-9-maths-guide-for-sale-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTY%3D&pos=415,AED 30,2017-04-09,1-6 months,Light Usage,Excellent
9909053,Brand new Cross stitch Embroidery book hardba...,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/9/brand-new-cross-stitch-embroidery-book-har-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=418,AED 28,2017-04-09,Brand New,Never Used,Flawless
9909052,HOME Private Tutor KG 1 - GRADE 2|  all subje...,https://dubai.dubizzle.com/classified/books/textbooks/primary-school/2017/4/9/home-private-tutor-kg-1-grade-2-all-subjec-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=419,AED 100,2017-04-09,1-2 years,Never Used,Flawless
9909051,class 12 |commerce books with guids for each ...,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/9/class-12-commerce-books-with-guids-for-eac-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=420,AED 300,2017-04-09,6-12 months,Light Usage,Excellent
9909049,The Wimpy Kid Hard Cover Book Movie Diary,https://dubai.dubizzle.com/classified/books/childrens-books/other/2017/4/9/the-wimpy-kid-hard-cover-book-movie-diary-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=421,AED 25,2017-04-09,0-1 month,Used Once,Flawless
9909048,Books,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/9/books-2-4/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=422,AED 500,2017-04-09,2-5 years,Light Usage,Good
9909044,book,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/9/book-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=423,AED 200,2017-04-09,1-2 years,Light Usage,Good
9909043,Motivational Books,https://dubai.dubizzle.com/classified/books/nonfiction/self-helpmotivational-books/2017/4/9/motivational-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=424,AED 300,2017-04-09,1-2 years,Light Usage,Excellent
9909041,CBSE GRADE 2 & 9,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/9/cbse-grade-2-amp-9-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=425,AED 1,2017-04-09,1-6 months,Never Used,Flawless
9909039,CBSE Guides and textbook for very cheap rate ...,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/9/cbse-guides-and-textbook-for-very-cheap-ra-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=426,AED 20,2017-04-09,6-12 months,Light Usage,Excellent
9909034,Physical Education Textbook Class 11,https://abudhabi.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/9/physical-education-textbook-class-11-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=427,AED 10,2017-04-09,1-2 years,Normal Usage,Good
9909032,Silas Marner Class 12th,https://abudhabi.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/9/silas-marner-class-12th-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTc%3D&pos=428,AED 10,2017-04-09,6-12 months,Normal Usage,Good
